#Col 1: dimension K: 2
#Col 2: specified s: 1
#Col 3: min n: 50000
#Col 4: max n50000
#Col 5: pas n1
#Col 7: n of trees500

K,s,n,q0,cost
2,1,50000,0.01,296
2,1,50000,0.01,805
2,1,50000,0.01,481
2,1,50000,0.01,440
2,1,50000,0.01,220
2,1,50000,0.01,528
2,1,50000,0.01,485
2,1,50000,0.01,417
2,1,50000,0.01,176
2,1,50000,0.01,457
2,1,50000,0.01,219
2,1,50000,0.01,285
2,1,50000,0.01,305
2,1,50000,0.01,236
2,1,50000,0.01,152
2,1,50000,0.01,217
2,1,50000,0.01,490
2,1,50000,0.01,441
2,1,50000,0.01,230
2,1,50000,0.01,243
2,1,50000,0.01,209
2,1,50000,0.01,394
2,1,50000,0.01,184
2,1,50000,0.01,270
2,1,50000,0.01,110
2,1,50000,0.01,490
2,1,50000,0.01,290
2,1,50000,0.01,199
2,1,50000,0.01,277
2,1,50000,0.01,139
2,1,50000,0.01,387
2,1,50000,0.01,187
2,1,50000,0.01,538
2,1,50000,0.01,131
2,1,50000,0.01,373
2,1,50000,0.01,369
2,1,50000,0.01,296
2,1,50000,0.01,368
2,1,50000,0.01,348
2,1,50000,0.01,469
2,1,50000,0.01,278
2,1,50000,0.01,420
2,1,50000,0.01,322
2,1,50000,0.01,436
2,1,50000,0.01,305
2,1,50000,0.01,380
2,1,50000,0.01,593
2,1,50000,0.01,208
2,1,50000,0.01,169
2,1,50000,0.01,542
2,1,50000,0.01,262
2,1,50000,0.01,423
2,1,50000,0.01,291
2,1,50000,0.01,502
2,1,50000,0.01,204
2,1,50000,0.01,384
2,1,50000,0.01,178
2,1,50000,0.01,450
2,1,50000,0.01,344
2,1,50000,0.01,312
2,1,50000,0.01,428
2,1,50000,0.01,379
2,1,50000,0.01,338
2,1,50000,0.01,80
2,1,50000,0.01,437
2,1,50000,0.01,447
2,1,50000,0.01,200
2,1,50000,0.01,139
2,1,50000,0.01,75
2,1,50000,0.01,337
2,1,50000,0.01,353
2,1,50000,0.01,230
2,1,50000,0.01,411
2,1,50000,0.01,172
2,1,50000,0.01,389
2,1,50000,0.01,288
2,1,50000,0.01,360
2,1,50000,0.01,342
2,1,50000,0.01,190
2,1,50000,0.01,366
2,1,50000,0.01,356
2,1,50000,0.01,484
2,1,50000,0.01,334
2,1,50000,0.01,399
2,1,50000,0.01,388
2,1,50000,0.01,188
2,1,50000,0.01,507
2,1,50000,0.01,166
2,1,50000,0.01,400
2,1,50000,0.01,307
2,1,50000,0.01,535
2,1,50000,0.01,366
2,1,50000,0.01,170
2,1,50000,0.01,531
2,1,50000,0.01,450
2,1,50000,0.01,154
2,1,50000,0.01,480
2,1,50000,0.01,87
2,1,50000,0.01,296
2,1,50000,0.01,212
2,1,50000,0.01,130
2,1,50000,0.01,298
2,1,50000,0.01,192
2,1,50000,0.01,242
2,1,50000,0.01,216
2,1,50000,0.01,193
2,1,50000,0.01,572
2,1,50000,0.01,273
2,1,50000,0.01,460
2,1,50000,0.01,587
2,1,50000,0.01,593
2,1,50000,0.01,239
2,1,50000,0.01,311
2,1,50000,0.01,234
2,1,50000,0.01,336
2,1,50000,0.01,193
2,1,50000,0.01,285
2,1,50000,0.01,434
2,1,50000,0.01,422
2,1,50000,0.01,340
2,1,50000,0.01,103
2,1,50000,0.01,478
2,1,50000,0.01,208
2,1,50000,0.01,512
2,1,50000,0.01,162
2,1,50000,0.01,328
2,1,50000,0.01,320
2,1,50000,0.01,360
2,1,50000,0.01,340
2,1,50000,0.01,123
2,1,50000,0.01,460
2,1,50000,0.01,153
2,1,50000,0.01,373
2,1,50000,0.01,360
2,1,50000,0.01,267
2,1,50000,0.01,296
2,1,50000,0.01,409
2,1,50000,0.01,281
2,1,50000,0.01,276
2,1,50000,0.01,229
2,1,50000,0.01,293
2,1,50000,0.01,450
2,1,50000,0.01,100
2,1,50000,0.01,484
2,1,50000,0.01,508
2,1,50000,0.01,307
2,1,50000,0.01,439
2,1,50000,0.01,257
2,1,50000,0.01,436
2,1,50000,0.01,365
2,1,50000,0.01,430
2,1,50000,0.01,394
2,1,50000,0.01,626
2,1,50000,0.01,286
2,1,50000,0.01,448
2,1,50000,0.01,299
2,1,50000,0.01,192
2,1,50000,0.01,415
2,1,50000,0.01,160
2,1,50000,0.01,272
2,1,50000,0.01,431
2,1,50000,0.01,323
2,1,50000,0.01,532
2,1,50000,0.01,217
2,1,50000,0.01,189
2,1,50000,0.01,376
2,1,50000,0.01,434
2,1,50000,0.01,399
2,1,50000,0.01,179
2,1,50000,0.01,420
2,1,50000,0.01,250
2,1,50000,0.01,232
2,1,50000,0.01,411
2,1,50000,0.01,355
2,1,50000,0.01,357
2,1,50000,0.01,428
2,1,50000,0.01,268
2,1,50000,0.01,281
2,1,50000,0.01,413
2,1,50000,0.01,397
2,1,50000,0.01,616
2,1,50000,0.01,675
2,1,50000,0.01,426
2,1,50000,0.01,270
2,1,50000,0.01,318
2,1,50000,0.01,561
2,1,50000,0.01,272
2,1,50000,0.01,448
2,1,50000,0.01,417
2,1,50000,0.01,188
2,1,50000,0.01,215
2,1,50000,0.01,365
2,1,50000,0.01,325
2,1,50000,0.01,386
2,1,50000,0.01,370
2,1,50000,0.01,334
2,1,50000,0.01,344
2,1,50000,0.01,427
2,1,50000,0.01,368
2,1,50000,0.01,224
2,1,50000,0.01,409
2,1,50000,0.01,411
2,1,50000,0.01,139
2,1,50000,0.01,429
2,1,50000,0.01,302
2,1,50000,0.01,547
2,1,50000,0.01,222
2,1,50000,0.01,403
2,1,50000,0.01,275
2,1,50000,0.01,262
2,1,50000,0.01,411
2,1,50000,0.01,428
2,1,50000,0.01,120
2,1,50000,0.01,212
2,1,50000,0.01,237
2,1,50000,0.01,310
2,1,50000,0.01,280
2,1,50000,0.01,262
2,1,50000,0.01,400
2,1,50000,0.01,495
2,1,50000,0.01,175
2,1,50000,0.01,135
2,1,50000,0.01,390
2,1,50000,0.01,338
2,1,50000,0.01,705
2,1,50000,0.01,292
2,1,50000,0.01,645
2,1,50000,0.01,357
2,1,50000,0.01,370
2,1,50000,0.01,222
2,1,50000,0.01,308
2,1,50000,0.01,399
2,1,50000,0.01,401
2,1,50000,0.01,158
2,1,50000,0.01,285
2,1,50000,0.01,201
2,1,50000,0.01,456
2,1,50000,0.01,538
2,1,50000,0.01,265
2,1,50000,0.01,143
2,1,50000,0.01,463
2,1,50000,0.01,288
2,1,50000,0.01,118
2,1,50000,0.01,232
2,1,50000,0.01,496
2,1,50000,0.01,368
2,1,50000,0.01,469
2,1,50000,0.01,406
2,1,50000,0.01,274
2,1,50000,0.01,363
2,1,50000,0.01,351
2,1,50000,0.01,132
2,1,50000,0.01,236
2,1,50000,0.01,290
2,1,50000,0.01,211
2,1,50000,0.01,365
2,1,50000,0.01,281
2,1,50000,0.01,497
2,1,50000,0.01,67
2,1,50000,0.01,271
2,1,50000,0.01,554
2,1,50000,0.01,341
2,1,50000,0.01,278
2,1,50000,0.01,284
2,1,50000,0.01,179
2,1,50000,0.01,205
2,1,50000,0.01,383
2,1,50000,0.01,459
2,1,50000,0.01,374
2,1,50000,0.01,362
2,1,50000,0.01,422
2,1,50000,0.01,619
2,1,50000,0.01,308
2,1,50000,0.01,318
2,1,50000,0.01,337
2,1,50000,0.01,205
2,1,50000,0.01,275
2,1,50000,0.01,601
2,1,50000,0.01,436
2,1,50000,0.01,351
2,1,50000,0.01,236
2,1,50000,0.01,203
2,1,50000,0.01,274
2,1,50000,0.01,278
2,1,50000,0.01,509
2,1,50000,0.01,688
2,1,50000,0.01,355
2,1,50000,0.01,312
2,1,50000,0.01,161
2,1,50000,0.01,382
2,1,50000,0.01,299
2,1,50000,0.01,294
2,1,50000,0.01,327
2,1,50000,0.01,300
2,1,50000,0.01,528
2,1,50000,0.01,313
2,1,50000,0.01,829
2,1,50000,0.01,376
2,1,50000,0.01,419
2,1,50000,0.01,576
2,1,50000,0.01,396
2,1,50000,0.01,332
2,1,50000,0.01,295
2,1,50000,0.01,257
2,1,50000,0.01,396
2,1,50000,0.01,602
2,1,50000,0.01,410
2,1,50000,0.01,105
2,1,50000,0.01,357
2,1,50000,0.01,350
2,1,50000,0.01,309
2,1,50000,0.01,463
2,1,50000,0.01,311
2,1,50000,0.01,293
2,1,50000,0.01,337
2,1,50000,0.01,219
2,1,50000,0.01,513
2,1,50000,0.01,333
2,1,50000,0.01,424
2,1,50000,0.01,394
2,1,50000,0.01,529
2,1,50000,0.01,226
2,1,50000,0.01,282
2,1,50000,0.01,260
2,1,50000,0.01,299
2,1,50000,0.01,207
2,1,50000,0.01,538
2,1,50000,0.01,238
2,1,50000,0.01,400
2,1,50000,0.01,537
2,1,50000,0.01,378
2,1,50000,0.01,96
2,1,50000,0.01,310
2,1,50000,0.01,152
2,1,50000,0.01,179
2,1,50000,0.01,233
2,1,50000,0.01,327
2,1,50000,0.01,462
2,1,50000,0.01,341
2,1,50000,0.01,288
2,1,50000,0.01,243
2,1,50000,0.01,477
2,1,50000,0.01,496
2,1,50000,0.01,333
2,1,50000,0.01,428
2,1,50000,0.01,329
2,1,50000,0.01,297
2,1,50000,0.01,407
2,1,50000,0.01,205
2,1,50000,0.01,313
2,1,50000,0.01,338
2,1,50000,0.01,448
2,1,50000,0.01,82
2,1,50000,0.01,242
2,1,50000,0.01,184
2,1,50000,0.01,230
2,1,50000,0.01,159
2,1,50000,0.01,302
2,1,50000,0.01,411
2,1,50000,0.01,303
2,1,50000,0.01,223
2,1,50000,0.01,231
2,1,50000,0.01,276
2,1,50000,0.01,182
2,1,50000,0.01,125
2,1,50000,0.01,325
2,1,50000,0.01,336
2,1,50000,0.01,194
2,1,50000,0.01,290
2,1,50000,0.01,404
2,1,50000,0.01,488
2,1,50000,0.01,349
2,1,50000,0.01,258
2,1,50000,0.01,38
2,1,50000,0.01,272
2,1,50000,0.01,541
2,1,50000,0.01,265
2,1,50000,0.01,431
2,1,50000,0.01,60
2,1,50000,0.01,301
2,1,50000,0.01,330
2,1,50000,0.01,440
2,1,50000,0.01,390
2,1,50000,0.01,332
2,1,50000,0.01,335
2,1,50000,0.01,467
2,1,50000,0.01,426
2,1,50000,0.01,398
2,1,50000,0.01,308
2,1,50000,0.01,353
2,1,50000,0.01,436
2,1,50000,0.01,440
2,1,50000,0.01,566
2,1,50000,0.01,205
2,1,50000,0.01,299
2,1,50000,0.01,432
2,1,50000,0.01,333
2,1,50000,0.01,327
2,1,50000,0.01,226
2,1,50000,0.01,245
2,1,50000,0.01,336
2,1,50000,0.01,164
2,1,50000,0.01,544
2,1,50000,0.01,82
2,1,50000,0.01,434
2,1,50000,0.01,276
2,1,50000,0.01,359
2,1,50000,0.01,329
2,1,50000,0.01,410
2,1,50000,0.01,320
2,1,50000,0.01,351
2,1,50000,0.01,257
2,1,50000,0.01,385
2,1,50000,0.01,498
2,1,50000,0.01,385
2,1,50000,0.01,381
2,1,50000,0.01,271
2,1,50000,0.01,386
2,1,50000,0.01,247
2,1,50000,0.01,370
2,1,50000,0.01,450
2,1,50000,0.01,161
2,1,50000,0.01,323
2,1,50000,0.01,350
2,1,50000,0.01,300
2,1,50000,0.01,345
2,1,50000,0.01,254
2,1,50000,0.01,492
2,1,50000,0.01,309
2,1,50000,0.01,436
2,1,50000,0.01,403
2,1,50000,0.01,305
2,1,50000,0.01,223
2,1,50000,0.01,263
2,1,50000,0.01,203
2,1,50000,0.01,261
2,1,50000,0.01,558
2,1,50000,0.01,218
2,1,50000,0.01,504
2,1,50000,0.01,439
2,1,50000,0.01,308
2,1,50000,0.01,265
2,1,50000,0.01,391
2,1,50000,0.01,91
2,1,50000,0.01,279
2,1,50000,0.01,400
2,1,50000,0.01,146
2,1,50000,0.01,478
2,1,50000,0.01,362
2,1,50000,0.01,208
2,1,50000,0.01,286
2,1,50000,0.01,327
2,1,50000,0.01,90
2,1,50000,0.01,292
2,1,50000,0.01,270
2,1,50000,0.01,213
2,1,50000,0.01,373
2,1,50000,0.01,360
2,1,50000,0.01,265
2,1,50000,0.01,429
2,1,50000,0.01,230
2,1,50000,0.01,258
2,1,50000,0.01,289
2,1,50000,0.01,413
2,1,50000,0.01,222
2,1,50000,0.01,141
2,1,50000,0.01,260
2,1,50000,0.01,350
2,1,50000,0.01,211
2,1,50000,0.01,311
2,1,50000,0.01,156
2,1,50000,0.01,527
2,1,50000,0.01,583
2,1,50000,0.01,107
2,1,50000,0.01,132
2,1,50000,0.01,405
2,1,50000,0.01,149
2,1,50000,0.01,372
2,1,50000,0.01,492
2,1,50000,0.01,481
2,1,50000,0.01,433
2,1,50000,0.01,385
2,1,50000,0.01,308
2,1,50000,0.01,309
2,1,50000,0.01,391
2,1,50000,0.01,430
2,1,50000,0.01,501
2,1,50000,0.01,391
2,1,50000,0.01,312
2,1,50000,0.01,219
2,1,50000,0.01,423
2,1,50000,0.01,319
2,1,50000,0.01,262
2,1,50000,0.01,302
2,1,50000,0.01,285
2,1,50000,0.01,387
2,1,50000,0.01,508
2,1,50000,0.01,223
2,1,50000,0.01,302
2,1,50000,0.01,400
2,1,50000,0.02,447
2,1,50000,0.02,316
2,1,50000,0.02,689
2,1,50000,0.02,179
2,1,50000,0.02,443
2,1,50000,0.02,161
2,1,50000,0.02,486
2,1,50000,0.02,308
2,1,50000,0.02,433
2,1,50000,0.02,555
2,1,50000,0.02,281
2,1,50000,0.02,258
2,1,50000,0.02,480
2,1,50000,0.02,185
2,1,50000,0.02,547
2,1,50000,0.02,409
2,1,50000,0.02,474
2,1,50000,0.02,256
2,1,50000,0.02,384
2,1,50000,0.02,473
2,1,50000,0.02,333
2,1,50000,0.02,332
2,1,50000,0.02,189
2,1,50000,0.02,352
2,1,50000,0.02,537
2,1,50000,0.02,536
2,1,50000,0.02,510
2,1,50000,0.02,606
2,1,50000,0.02,331
2,1,50000,0.02,140
2,1,50000,0.02,316
2,1,50000,0.02,230
2,1,50000,0.02,469
2,1,50000,0.02,514
2,1,50000,0.02,245
2,1,50000,0.02,271
2,1,50000,0.02,471
2,1,50000,0.02,415
2,1,50000,0.02,444
2,1,50000,0.02,731
2,1,50000,0.02,373
2,1,50000,0.02,184
2,1,50000,0.02,283
2,1,50000,0.02,577
2,1,50000,0.02,595
2,1,50000,0.02,398
2,1,50000,0.02,381
2,1,50000,0.02,369
2,1,50000,0.02,353
2,1,50000,0.02,578
2,1,50000,0.02,192
2,1,50000,0.02,73
2,1,50000,0.02,526
2,1,50000,0.02,588
2,1,50000,0.02,572
2,1,50000,0.02,778
2,1,50000,0.02,381
2,1,50000,0.02,200
2,1,50000,0.02,350
2,1,50000,0.02,143
2,1,50000,0.02,315
2,1,50000,0.02,382
2,1,50000,0.02,173
2,1,50000,0.02,203
2,1,50000,0.02,394
2,1,50000,0.02,345
2,1,50000,0.02,494
2,1,50000,0.02,418
2,1,50000,0.02,259
2,1,50000,0.02,484
2,1,50000,0.02,478
2,1,50000,0.02,748
2,1,50000,0.02,491
2,1,50000,0.02,305
2,1,50000,0.02,299
2,1,50000,0.02,462
2,1,50000,0.02,487
2,1,50000,0.02,265
2,1,50000,0.02,224
2,1,50000,0.02,563
2,1,50000,0.02,756
2,1,50000,0.02,397
2,1,50000,0.02,293
2,1,50000,0.02,382
2,1,50000,0.02,275
2,1,50000,0.02,216
2,1,50000,0.02,241
2,1,50000,0.02,276
2,1,50000,0.02,434
2,1,50000,0.02,198
2,1,50000,0.02,461
2,1,50000,0.02,333
2,1,50000,0.02,372
2,1,50000,0.02,476
2,1,50000,0.02,638
2,1,50000,0.02,328
2,1,50000,0.02,187
2,1,50000,0.02,346
2,1,50000,0.02,489
2,1,50000,0.02,374
2,1,50000,0.02,615
2,1,50000,0.02,450
2,1,50000,0.02,159
2,1,50000,0.02,332
2,1,50000,0.02,523
2,1,50000,0.02,443
2,1,50000,0.02,501
2,1,50000,0.02,585
2,1,50000,0.02,370
2,1,50000,0.02,296
2,1,50000,0.02,62
2,1,50000,0.02,457
2,1,50000,0.02,273
2,1,50000,0.02,583
2,1,50000,0.02,533
2,1,50000,0.02,405
2,1,50000,0.02,440
2,1,50000,0.02,268
2,1,50000,0.02,344
2,1,50000,0.02,180
2,1,50000,0.02,202
2,1,50000,0.02,428
2,1,50000,0.02,363
2,1,50000,0.02,216
2,1,50000,0.02,297
2,1,50000,0.02,735
2,1,50000,0.02,302
2,1,50000,0.02,441
2,1,50000,0.02,217
2,1,50000,0.02,765
2,1,50000,0.02,321
2,1,50000,0.02,511
2,1,50000,0.02,377
2,1,50000,0.02,237
2,1,50000,0.02,710
2,1,50000,0.02,285
2,1,50000,0.02,668
2,1,50000,0.02,530
2,1,50000,0.02,175
2,1,50000,0.02,396
2,1,50000,0.02,732
2,1,50000,0.02,522
2,1,50000,0.02,454
2,1,50000,0.02,415
2,1,50000,0.02,260
2,1,50000,0.02,456
2,1,50000,0.02,463
2,1,50000,0.02,353
2,1,50000,0.02,252
2,1,50000,0.02,330
2,1,50000,0.02,322
2,1,50000,0.02,527
2,1,50000,0.02,475
2,1,50000,0.02,313
2,1,50000,0.02,333
2,1,50000,0.02,390
2,1,50000,0.02,484
2,1,50000,0.02,341
2,1,50000,0.02,397
2,1,50000,0.02,340
2,1,50000,0.02,197
2,1,50000,0.02,412
2,1,50000,0.02,738
2,1,50000,0.02,173
2,1,50000,0.02,433
2,1,50000,0.02,193
2,1,50000,0.02,529
2,1,50000,0.02,368
2,1,50000,0.02,207
2,1,50000,0.02,380
2,1,50000,0.02,249
2,1,50000,0.02,454
2,1,50000,0.02,425
2,1,50000,0.02,223
2,1,50000,0.02,286
2,1,50000,0.02,199
2,1,50000,0.02,310
2,1,50000,0.02,423
2,1,50000,0.02,232
2,1,50000,0.02,266
2,1,50000,0.02,369
2,1,50000,0.02,531
2,1,50000,0.02,274
2,1,50000,0.02,442
2,1,50000,0.02,371
2,1,50000,0.02,513
2,1,50000,0.02,356
2,1,50000,0.02,178
2,1,50000,0.02,169
2,1,50000,0.02,472
2,1,50000,0.02,269
2,1,50000,0.02,179
2,1,50000,0.02,402
2,1,50000,0.02,416
2,1,50000,0.02,518
2,1,50000,0.02,463
2,1,50000,0.02,275
2,1,50000,0.02,67
2,1,50000,0.02,527
2,1,50000,0.02,455
2,1,50000,0.02,419
2,1,50000,0.02,388
2,1,50000,0.02,436
2,1,50000,0.02,338
2,1,50000,0.02,391
2,1,50000,0.02,149
2,1,50000,0.02,520
2,1,50000,0.02,405
2,1,50000,0.02,591
2,1,50000,0.02,364
2,1,50000,0.02,213
2,1,50000,0.02,333
2,1,50000,0.02,553
2,1,50000,0.02,332
2,1,50000,0.02,581
2,1,50000,0.02,541
2,1,50000,0.02,554
2,1,50000,0.02,508
2,1,50000,0.02,471
2,1,50000,0.02,505
2,1,50000,0.02,331
2,1,50000,0.02,397
2,1,50000,0.02,358
2,1,50000,0.02,234
2,1,50000,0.02,303
2,1,50000,0.02,394
2,1,50000,0.02,265
2,1,50000,0.02,440
2,1,50000,0.02,211
2,1,50000,0.02,699
2,1,50000,0.02,407
2,1,50000,0.02,274
2,1,50000,0.02,311
2,1,50000,0.02,444
2,1,50000,0.02,597
2,1,50000,0.02,297
2,1,50000,0.02,456
2,1,50000,0.02,233
2,1,50000,0.02,232
2,1,50000,0.02,395
2,1,50000,0.02,440
2,1,50000,0.02,319
2,1,50000,0.02,331
2,1,50000,0.02,399
2,1,50000,0.02,289
2,1,50000,0.02,329
2,1,50000,0.02,182
2,1,50000,0.02,533
2,1,50000,0.02,435
2,1,50000,0.02,439
2,1,50000,0.02,526
2,1,50000,0.02,535
2,1,50000,0.02,434
2,1,50000,0.02,445
2,1,50000,0.02,439
2,1,50000,0.02,285
2,1,50000,0.02,441
2,1,50000,0.02,458
2,1,50000,0.02,546
2,1,50000,0.02,338
2,1,50000,0.02,289
2,1,50000,0.02,265
2,1,50000,0.02,413
2,1,50000,0.02,466
2,1,50000,0.02,567
2,1,50000,0.02,363
2,1,50000,0.02,482
2,1,50000,0.02,326
2,1,50000,0.02,633
2,1,50000,0.02,520
2,1,50000,0.02,209
2,1,50000,0.02,603
2,1,50000,0.02,633
2,1,50000,0.02,542
2,1,50000,0.02,756
2,1,50000,0.02,491
2,1,50000,0.02,301
2,1,50000,0.02,661
2,1,50000,0.02,299
2,1,50000,0.02,246
2,1,50000,0.02,496
2,1,50000,0.02,302
2,1,50000,0.02,571
2,1,50000,0.02,307
2,1,50000,0.02,422
2,1,50000,0.02,500
2,1,50000,0.02,482
2,1,50000,0.02,209
2,1,50000,0.02,328
2,1,50000,0.02,515
2,1,50000,0.02,564
2,1,50000,0.02,223
2,1,50000,0.02,126
2,1,50000,0.02,257
2,1,50000,0.02,419
2,1,50000,0.02,407
2,1,50000,0.02,337
2,1,50000,0.02,527
2,1,50000,0.02,324
2,1,50000,0.02,253
2,1,50000,0.02,686
2,1,50000,0.02,279
2,1,50000,0.02,435
2,1,50000,0.02,458
2,1,50000,0.02,209
2,1,50000,0.02,395
2,1,50000,0.02,463
2,1,50000,0.02,366
2,1,50000,0.02,138
2,1,50000,0.02,232
2,1,50000,0.02,275
2,1,50000,0.02,627
2,1,50000,0.02,450
2,1,50000,0.02,100
2,1,50000,0.02,456
2,1,50000,0.02,617
2,1,50000,0.02,252
2,1,50000,0.02,514
2,1,50000,0.02,312
2,1,50000,0.02,392
2,1,50000,0.02,177
2,1,50000,0.02,249
2,1,50000,0.02,429
2,1,50000,0.02,218
2,1,50000,0.02,238
2,1,50000,0.02,581
2,1,50000,0.02,272
2,1,50000,0.02,417
2,1,50000,0.02,525
2,1,50000,0.02,537
2,1,50000,0.02,578
2,1,50000,0.02,476
2,1,50000,0.02,483
